Graph Type,\sigma noise,Information,Precision,Recall,F score,NMI,l2error
1,0.0,Mean,,0.20833333333333334,,0.20833333333333334,0.22509312885903643
1,0.0,Stdev,,0.40611643103370676,,0.40611643103370676,0.04912851797458403
1,0.0,Max,,0.0,,0.0,0.25
1,0.1,Mean,,0.08333333333333333,,0.08333333333333333,0.24228531699547284
1,0.1,Stdev,,0.2763853991962833,,0.2763853991962833,0.026964737169592683
1,0.1,Max,,0.0,,0.0,0.25
1,0.5,Mean,,0.16666666666666666,,0.16666666666666666,0.23270375058731727
1,0.5,Stdev,,0.3726779962499649,,0.3726779962499649,0.04053167373082635
1,0.5,Max,,0.0,,0.0,0.25
2,0.0,Mean,,0.3333333333333333,,0.3333333333333333,0.16666666666666666
2,0.0,Stdev,,0.4714045207910317,,0.4714045207910317,0.1178511301977579
2,0.0,Max,,0.0,,0.0,0.25
2,0.1,Mean,,0.4166666666666667,,0.4166666666666667,0.14583333333333334
2,0.1,Stdev,,0.49300664859163457,,0.49300664859163457,0.12325166214790864
2,0.1,Max,,0.0,,0.0,0.25
2,0.5,Mean,,0.5,,0.5,0.125
2,0.5,Stdev,,0.5,,0.5,0.125
2,0.5,Max,,0.0,,0.0,0.25
3,0.0,Mean,1.0,1.0,1.0,1.0,0.0
3,0.0,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.0,Max,1.0,1.0,1.0,1.0,0.0
3,0.1,Mean,1.0,1.0,1.0,1.0,0.0
3,0.1,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.1,Max,1.0,1.0,1.0,1.0,0.0
3,0.5,Mean,1.0,1.0,1.0,1.0,0.0
3,0.5,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.5,Max,1.0,1.0,1.0,1.0,0.0
